title,publishedAt,duration,views,likes,comments,duration_sec,publish_hour,publish_day,cluster
Make Money 💰,2024-03-13 14:11:11+00:00,PT49S,127432,10895,72,49.0,14,Wednesday,1
5 Ways to Make Money from Coding 💰💵,2024-03-12 15:14:59+00:00,PT58S,279263,22731,100,58.0,15,Tuesday,1
Learn this Programming Language in 2024 👨‍💻,2024-03-11 08:52:01+00:00,PT58S,252591,21115,172,58.0,8,Monday,1
Coding Without a Degree?,2024-03-09 20:24:56+00:00,PT48S,469647,37588,494,48.0,20,Saturday,1
Java in 2024❓,2024-03-08 07:18:58+00:00,PT58S,173944,14344,134,58.0,7,Friday,1
Best Framework for Web Development - The Bitter Truth 😒,2024-03-07 13:18:50+00:00,PT11M25S,133071,5417,557,685.0,13,Thursday,1
Layouts in Next.js | Sigma Web Development Course - Tutorial #129,2024-03-05 05:30:10+00:00,PT12M34S,65592,2042,345,754.0,5,Tuesday,1
Amazing Learning Trick 🔥,2024-03-04 17:00:37+00:00,PT55S,142395,14871,129,55.0,17,Monday,1
Dynamic Routes in Next.js | Sigma Web Development Course - Tutorial #128,2024-03-04 11:48:54+00:00,PT9M51S,53912,1782,312,591.0,11,Monday,1
Auth.js - Authentication in Next.js | Sigma Web Development Course - Tutorial #127,2024-03-03 13:45:50+00:00,PT14M4S,72028,2116,244,844.0,13,Sunday,1
PHP in 2024?,2024-03-03 07:33:35+00:00,PT58S,280994,20300,186,58.0,7,Sunday,1
Middleware in Next.js | Sigma Web Development Course - Tutorial #126,2024-03-02 15:05:23+00:00,PT10M18S,43082,1680,144,618.0,15,Saturday,1
DSA & ₹1.2 Crore Per Annum Jobs - The Truth? (No Offence),2024-02-28 15:37:09+00:00,PT12M22S,913600,35346,1497,742.0,15,Wednesday,1
Server Actions in Next.js | Sigma Web Development Course - Tutorial #125,2024-02-28 05:30:10+00:00,PT13M16S,51009,2016,239,796.0,5,Wednesday,1
Creating APIs in Next.js | Sigma Web Development Course - Tutorial #124,2024-02-27 11:30:01+00:00,PT7M48S,59349,1929,142,468.0,11,Tuesday,1
How To Get Rich & Financially Independent (Works in 2025),2024-02-25 05:30:00+00:00,PT15M49S,825307,43464,1543,949.0,5,Sunday,0
"Script, Link & Image components in Next.js | Sigma Web Development Course - Tutorial #123",2024-02-24 11:30:33+00:00,PT20M37S,55887,2084,206,1237.0,11,Saturday,1
Server Components in Next.js | Sigma Web Development Course - Tutorial #122,2024-02-23 11:30:16+00:00,PT11M12S,51752,2189,238,672.0,11,Friday,1
Introduction to Next.js & File based routing | Sigma Web Development Course - Tutorial #121,2024-02-22 11:52:23+00:00,PT12M25S,94987,3271,294,745.0,11,Thursday,1
Learn Redux in One video | Sigma Web Development Course - Tutorial #120,2024-02-21 15:44:53+00:00,PT19M37S,139372,4428,280,1177.0,15,Wednesday,1
Handling Forms + Connecting React to Express Backend | Sigma Web Development Course - Tutorial #119,2024-02-20 13:43:27+00:00,PT31M29S,101712,2983,259,1889.0,13,Tuesday,1
The useCallback hook in React | Sigma Web Development Course - Tutorial #118,2024-02-18 11:30:07+00:00,PT14M,87410,3239,290,840.0,11,Sunday,1
The useMemo hook in React | Sigma Web Development Course - Tutorial #117,2024-02-17 11:30:25+00:00,PT14M49S,81418,3192,302,889.0,11,Saturday,1
The useContext hook in React | Sigma Web Development Course - Tutorial #116,2024-02-16 11:30:17+00:00,PT16M17S,120644,3993,287,977.0,11,Friday,1
One Effective Trick to Learn Coding Fast (Works in 2025),2024-02-15 15:19:35+00:00,PT4M53S,386318,17770,434,293.0,15,Thursday,1
React Router: Routing in React | Sigma Web Development Course - Tutorial #115,2024-02-14 14:47:22+00:00,PT17M,217636,5517,364,1020.0,14,Wednesday,1
"TodoList App using React, Tailwind & React Icons | Sigma Web Development Course - Tutorial #114",2024-02-14 05:30:13+00:00,PT1H21M55S,193911,3754,511,4915.0,5,Wednesday,1
Logic Building in Programming - 5 Proven Strategies (2025) 🔥,2024-02-12 11:47:41+00:00,PT13M1S,655883,30464,1486,781.0,11,Monday,1
